tweet_id,tweet_url,conversation_id,created_at,lang,source,text,is_reply,in_reply_to_id,in_reply_to_user_id,in_reply_to_username,is_limited_reply,is_retweet,is_quote,like_count,retweet_count,reply_count,quote_count,view_count,bookmark_count,engagement_total,hashtags,hashtags_count,menciones,menciones_count,urls,urls_count,author_username,author_id,author_name,author_followers,author_following,author_verified,author_description,author_location,author_created_at,author_total_tweets,author_total_likes,author_total_media,candidato_nombre,candidato_pais,candidato_vuelta,periodo_busqueda,capturado_en
1910542423639417320,https://x.com/LuisaGonzalezEc/status/1910542423639417320,1910542423639417320,Fri Apr 11 03:56:24 +0000 2025,es,Twitter for iPhone,"La esperanza ya no es un susurro: es el canto de un pueblo que no se rinde.

Queremos volver a sonreír sin miedo, con dignidad y con justicia.

Y ese cambio lo vamos a lograr juntos. Con fuerza, con alegría y con fe en lo que viene.

Hoy el cambio canta en cada calle, en cada abrazo, en cada voto de esperanza.

#LuisaPresidenta
#RevivirEcuador
#PorLaVida ✊🏽🇪🇨🤝🏽",False,,,,False,False,False,1890,807,122,26,25169,20,2845,LuisaPresidenta | RevivirEcuador | PorLaVida,3,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460462
1910538095147000194,https://x.com/LuisaGonzalezEc/status/1910538095147000194,1910538095147000194,Fri Apr 11 03:39:12 +0000 2025,es,Twitter for iPhone,"¡Guayaquil ya decidió!
Este 13 de abril, vamos juntos hacia un Ecuador de cambio, de esperanza y de igualdad.

¡Volvemos a soñar, volvemos a creer… y esta vez, lo vamos a lograr! 

#LuisaPorLaVida
#LuisaPresidenta🇪🇨 https://t.co/SBC60KggdR",False,,,,False,False,False,2064,727,104,2,20946,8,2897,LuisaPorLaVida | LuisaPresidenta,2,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460478
1910527365576351856,https://x.com/LuisaGonzalezEc/status/1910527365576351856,1910527365576351856,Fri Apr 11 02:56:34 +0000 2025,es,Twitter for iPhone,"Gracias a UNITRAPEN, la Unión de Transporte Pesado y Extrapresado de Napo, por este respaldo que nace del trabajo diario, del esfuerzo en las rutas y del compromiso con el país.

Con ustedes, vamos a reactivar la economía, generar oportunidades y garantizar seguridad y respeto para el transporte ecuatoriano.

Vamos a avanzar juntos, con fuerza, con unidad y con esperanza.

#LuisaPresidenta
#RevivirEcuador
#PorLaVida ✊🏽🚛🇪🇨",False,,,,False,False,False,1383,626,87,4,19687,8,2100,LuisaPresidenta | RevivirEcuador | PorLaVida,3,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460493
1910522381489020983,https://x.com/LuisaGonzalezEc/status/1910522381489020983,1910522381489020983,Fri Apr 11 02:36:46 +0000 2025,es,Twitter for iPhone,"¡La esperanza se siente, el cambio es imparable!
¡Gracias, mi bella Guayaquil! 🫶🏻

#LuisaPorLaVida
#LuisaPresidenta 🇪🇨 https://t.co/Jp9Uh8ACun",False,,,,False,False,False,2919,1008,154,15,35222,14,4096,LuisaPorLaVida | LuisaPresidenta,2,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460507
1910517425180999839,https://x.com/LuisaGonzalezEc/status/1910517425180999839,1910517425180999839,Fri Apr 11 02:17:04 +0000 2025,es,Twitter for iPhone,"Gracias a @MasMadrid__ por este respaldo que trasciende fronteras y conecta luchas compartidas por la igualdad, la justicia social y la dignidad de los pueblos.

Frente a quienes representan el retroceso, el privilegio y la exclusión, hoy más que nunca elegimos un camino de esperanza y derechos para todos.

Su apoyo reafirma que el mundo nos acompaña y que Ecuador no está solo en esta decisión histórica.

Este 13 de abril, vamos a defender la democracia y el futuro con firmeza, con unidad y con amor.

#LuisaPresidenta
#RevivirEcuador
#PorLaVida ✊🏽🌍🇪🇨",False,,,,False,False,True,985,433,75,7,27720,16,1500,LuisaPresidenta | RevivirEcuador | PorLaVida,3,MasMadrid__,1,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460525
1910510991143547269,https://x.com/LuisaGonzalezEc/status/1910510991143547269,1910510991143547269,Fri Apr 11 01:51:30 +0000 2025,es,Twitter for iPhone,"¡Caminamos juntos, con el pueblo y por el país!
Hombres y mujeres de distintas visiones políticas, pero con un mismo compromiso: el bienestar del Ecuador.

Cuando dejamos atrás las diferencias y nos unimos por la patria, nada nos detiene 🇪🇨

#LuisaPorLaVida
#LuisaPresidenta https://t.co/o23WmK1U9e",False,,,,False,False,False,1120,444,80,5,17199,9,1649,LuisaPorLaVida | LuisaPresidenta,2,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460544
1910509747071050059,https://x.com/LuisaGonzalezEc/status/1910509747071050059,1910509747071050059,Fri Apr 11 01:46:33 +0000 2025,es,Twitter for iPhone,"Gracias a la Asociación Mayoritaria de Afrodescendientes del Ecuador, sede Imbabura, y a su Presidenta por este respaldo firme desde el pueblo afroecuatoriano.

Juntas, vamos a construir un Ecuador con identidad, inclusión y justicia.

#LuisaPresidenta
#RevivirEcuador
#PorLaVida ✊🏽🇪🇨",False,,,,False,False,False,2019,699,76,6,19606,8,2800,LuisaPresidenta | RevivirEcuador | PorLaVida,3,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460560
1910497981771493588,https://x.com/LuisaGonzalezEc/status/1910497981771493588,1910497981771493588,Fri Apr 11 00:59:48 +0000 2025,es,Twitter for iPhone,"Guayaquil habló fuerte y claro. Se desbordó de gente y de esperanza. Fue unidad, fue dignidad 

La fuerza de un pueblo que ya no se arrodilla y que se levanta por justicia, esperanza y por el Ecuador que merece.

#LuisaPorLaVida 
#LuisaPresidenta 🇪🇨 https://t.co/NHp4azvLxy",False,,,,False,False,False,3271,1255,142,40,50781,23,4708,LuisaPorLaVida | LuisaPresidenta,2,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460584
1910496173367963822,https://x.com/LuisaGonzalezEc/status/1910496173367963822,1910496173367963822,Fri Apr 11 00:52:37 +0000 2025,es,Twitter for iPhone,"El camino que recorrimos juntos en esta campaña, con esperanza, valentía y amor por nuestra tierra, marca el inicio de una nueva historia para el Ecuador.

En cada abrazo y mirada, sentí el clamor por un cambio verdadero. Lo entiendo, porque soy una más de ustedes: una mujer de este pueblo que cree, lucha y no se rinde.

Llegó el momento. Votemos con ilusión, con el corazón en alto y la mirada al futuro. Tengo fe en ustedes, en nosotros, y sé que lo más importante está por venir. Cuenten conmigo para que esta unidad sea real, firme y para todos.

El cambio ya empezó.

#LuisaPresidenta
#RevivirEcuador
#PorLaVida ✊🏽🇪🇨🤝🏽",False,,,,False,False,False,1784,749,134,12,26626,7,2679,LuisaPresidenta | RevivirEcuador | PorLaVida,3,,0,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460599
1910480626475557000,https://x.com/LuisaGonzalezEc/status/1910480626475557000,1910480626475557000,Thu Apr 10 23:50:51 +0000 2025,es,Twitter for iPhone,"La campaña termina y la guerra sucia escala. ¡No se dejen engañar!

Los Gestores de Paz son parte de una iniciativa respaldada por @ONU_es.
Aquí se los cuento. 👇

#LuisaPorLaVida 
#LuisaPresidenta https://t.co/kAJXgr1ZOr",False,,,,False,False,False,5074,2339,598,113,147712,91,8124,LuisaPorLaVida | LuisaPresidenta,2,ONU_es,1,,0,LuisaGonzalezEc,276273248,Luisa González,182950,236,True,,"Manabi, Ecuador",Sun Apr 03 01:14:48 +0000 2011,63977,66591,4587,Luisa González,Ecuador,2da,2025-01-05 → 2025-04-13,2026-03-28T21:39:12.460615
